"spec","rf_estimate","rf_se","fs_estimate","fs_se","ratio_estimate","ratio_se","z","p"
"additive",-0.0257323476160138,0.0725008237344554,0.655723654505131,0.0954405102424693,-0.0392426709624099,0.110713559868851,-0.354452255070618,0.722999979229032
"fe",-0.0193633310113033,0.0721885119056163,0.655723654505131,0.0954405102424693,-0.0295297125218345,0.110173708179961,-0.268028670448305,0.788677250046487
