"Min","GilNK","TeudaGvoha","MachozMegurim","WFH_Exposure","n_cell"
1,"4","Other/No Certificate","4",0.202175770372258,21777.368354
1,"4","Other/No Certificate","5",0.35515895535097,15659.973964
1,"4","Other/No Certificate","6",0.114565753881272,10335.209177
1,"4","Other/No Certificate","7",0.523620544476638,5165.15588
1,"4",NA,"1",0.266163442915309,8630.150477
1,"4",NA,"2",0.131468631788232,7203.000163
1,"4",NA,"3",0.216274781526242,7834.611329
1,"4",NA,"4",0.274948610454019,24725.193715
1,"4",NA,"5",0.175921148438624,19801.239303
1,"4",NA,"6",0.23625582984173,16799.595555
1,"4",NA,"7",0.131431396289322,2482.49483
1,"5","Below High School","1",0.149036891658724,322581.648599
1,"5","Below High School","2",0.101466928606105,468802.786346
1,"5","Below High School","3",0.109711036812266,205988.837713
1,"5","Below High School","4",0.162644864632372,209191.026616
1,"5","Below High School","5",0.174015533115891,140978.724598
1,"5","Below High School","6",0.145056740740477,136687.917409
1,"5","Below High School","7",0.144733126781857,14939.140241
1,"5","High School (no matriculation)","1",0.206005941440873,317058.526705
1,"5","High School (no matriculation)","2",0.146657047106567,509940.593654
1,"5","High School (no matriculation)","3",0.170019300999787,349812.265776
1,"5","High School (no matriculation)","4",0.19289215499083,691560.71394
1,"5","High School (no matriculation)","5",0.199427836390325,457911.444602
1,"5","High School (no matriculation)","6",0.166699876442375,516635.402076
1,"5","High School (no matriculation)","7",0.185742863840126,139345.964081
1,"5","Matriculation (Bagrut)","1",0.184203292039815,231587.014501
1,"5","Matriculation (Bagrut)","2",0.137899375046512,492429.44934
1,"5","Matriculation (Bagrut)","3",0.164242659711195,316811.903996
1,"5","Matriculation (Bagrut)","4",0.213173454539388,711915.9737
1,"5","Matriculation (Bagrut)","5",0.239663321965321,447371.462609
1,"5","Matriculation (Bagrut)","6",0.16551351311245,335027.216591
1,"5","Matriculation (Bagrut)","7",0.209965313737689,81072.15938
1,"5","Post-secondary, non-academic","1",0.245693345783931,174747.306748
1,"5","Post-secondary, non-academic","2",0.172732362228937,389085.056201
1,"5","Post-secondary, non-academic","3",0.181145832606914,324794.239618
1,"5","Post-secondary, non-academic","4",0.249401594459333,591363.03542
1,"5","Post-secondary, non-academic","5",0.274998421867988,339503.559444
1,"5","Post-secondary, non-academic","6",0.180826270854155,348603.502615
1,"5","Post-secondary, non-academic","7",0.200660104291138,92702.803993
1,"5","Academic Degree (BA/MA/PhD)","1",0.289547185349203,535080.920056
1,"5","Academic Degree (BA/MA/PhD)","2",0.277263709675967,878806.716115
1,"5","Academic Degree (BA/MA/PhD)","3",0.331880739061388,809356.305818
1,"5","Academic Degree (BA/MA/PhD)","4",0.3127869219052,2245528.619533
1,"5","Academic Degree (BA/MA/PhD)","5",0.319729979489431,1730491.144109
1,"5","Academic Degree (BA/MA/PhD)","6",0.27060012815082,671284.338589
1,"5","Academic Degree (BA/MA/PhD)","7",0.293201227062586,294630.858779
1,"5","Other/No Certificate","1",0.151999560551654,26826.578527
1,"5","Other/No Certificate","2",0.155066170310055,28215.918543
1,"5","Other/No Certificate","3",0.192187153881049,19756.595229
1,"5","Other/No Certificate","4",0.21017553384209,56393.770722
1,"5","Other/No Certificate","5",0.243261977992862,32579.175657
1,"5","Other/No Certificate","6",0.109784417884951,43165.21889
1,"5","Other/No Certificate","7",0.239133908383084,12097.127961
1,"5",NA,"1",0.207801180239713,20846.610072
1,"5",NA,"2",0.189375077994984,8519.342402
1,"5",NA,"3",0.209591637640581,17278.206158
1,"5",NA,"4",0.248447083222445,37260.403039
1,"5",NA,"5",0.256334240911832,34638.599291
1,"5",NA,"6",0.182864371780097,18281.970031
1,"5",NA,"7",0.147686639622036,4595.998
1,"6","Below High School","1",0.14835911846709,243763.19103
1,"6","Below High School","2",0.107377746714673,515727.125437
1,"6","Below High School","3",0.125933672879194,169954.379235
1,"6","Below High School","4",0.138186538486416,254643.959508
1,"6","Below High School","5",0.168474424780559,135968.781324
1,"6","Below High School","6",0.155914436401888,165433.086064
1,"6","Below High School","7",0.18186956427859,9379.062429
1,"6","High School (no matriculation)","1",0.192556524298069,236438.258253
1,"6","High School (no matriculation)","2",0.164260209933435,411591.012492
1,"6","High School (no matriculation)","3",0.170438199225932,262504.404189
1,"6","High School (no matriculation)","4",0.173235432902341,640971.989914
1,"6","High School (no matriculation)","5",0.192476360679471,397457.224201
1,"6","High School (no matriculation)","6",0.161383251820312,396428.230646
1,"6","High School (no matriculation)","7",0.189714692981359,107710.064639
1,"6","Matriculation (Bagrut)","1",0.169315523013344,174255.908816
1,"6","Matriculation (Bagrut)","2",0.139088719581348,364225.394522
1,"6","Matriculation (Bagrut)","3",0.155824778835077,227819.010065
1,"6","Matriculation (Bagrut)","4",0.179694608854875,534428.029897
1,"6","Matriculation (Bagrut)","5",0.198063926162598,327116.485433
1,"6","Matriculation (Bagrut)","6",0.159340184497169,266101.389468
1,"6","Matriculation (Bagrut)","7",0.221508551110126,67282.941093
1,"6","Post-secondary, non-academic","1",0.220172198115087,162945.826457
1,"6","Post-secondary, non-academic","2",0.171218904423481,344723.903359
1,"6","Post-secondary, non-academic","3",0.172190811961449,271058.523059
1,"6","Post-secondary, non-academic","4",0.195417168391439,627041.89451
1,"6","Post-secondary, non-academic","5",0.230766689954373,229605.82897
1,"6","Post-secondary, non-academic","6",0.153835483817032,308655.208497
1,"6","Post-secondary, non-academic","7",0.240784634820078,79363.206997
1,"6","Academic Degree (BA/MA/PhD)","1",0.268514031655012,413333.504196
1,"6","Academic Degree (BA/MA/PhD)","2",0.264453059758594,597075.194664
1,"6","Academic Degree (BA/MA/PhD)","3",0.297926674288745,609355.129746
1,"6","Academic Degree (BA/MA/PhD)","4",0.293651363639219,1580258.541889
1,"6","Academic Degree (BA/MA/PhD)","5",0.310511747991609,926711.000305
1,"6","Academic Degree (BA/MA/PhD)","6",0.25231687785481,498992.125673
1,"6","Academic Degree (BA/MA/PhD)","7",0.258566307387057,170767.841776
1,"6","Other/No Certificate","1",0.0752289478302995,23657.510288
1,"6","Other/No Certificate","2",0.116284568191359,28052.496088
1,"6","Other/No Certificate","3",0.191221755523339,17651.718037
1,"6","Other/No Certificate","4",0.200048701974089,41475.751611
1,"6","Other/No Certificate","5",0.136238686217953,16855.687113
1,"6","Other/No Certificate","6",0.171714026905803,32933.965779
1,"6","Other/No Certificate","7",0.267681774319888,4166.57662
1,"6",NA,"1",0.306568071149068,5725.810022
1,"6",NA,"2",0.137840400845251,13512.380488
1,"6",NA,"3",0.130071717749955,6610.387755
1,"6",NA,"4",0.181108304168531,33939.065382
1,"6",NA,"5",0.228324517867078,20278.836195
1,"6",NA,"6",0.202402333778237,15058.329589
1,"6",NA,"7",0.235116530198996,1945.039242
1,"7","Below High School","1",0.12850439892666,63902.458997
1,"7","Below High School","2",0.138220551244041,180585.27535
1,"7","Below High School","3",0.123347939285287,89616.73215
1,"7","Below High School","4",0.156284609689342,172310.004705
1,"7","Below High School","5",0.162037304311352,111084.980144
1,"7","Below High School","6",0.135492011251987,68020.269507
1,"7","Below High School","7",0.193255128378182,10714.23581
1,"7","High School (no matriculation)","1",0.199695873215069,119135.917587
1,"7","High School (no matriculation)","2",0.160622534426761,160254.26615
1,"7","High School (no matriculation)","3",0.178050988827045,113760.472835
1,"7","High School (no matriculation)","4",0.154349377780892,277358.215487
1,"7","High School (no matriculation)","5",0.190246510803347,195003.450545
1,"7","High School (no matriculation)","6",0.146175768086489,157655.520602
1,"7","High School (no matriculation)","7",0.152254922806892,34302.608571
1,"7","Matriculation (Bagrut)","1",0.238741555231279,68402.823468
1,"7","Matriculation (Bagrut)","2",0.142538783616655,117167.422291
1,"7","Matriculation (Bagrut)","3",0.17995812821483,82446.715495
1,"7","Matriculation (Bagrut)","4",0.188538655531736,213398.949685
1,"7","Matriculation (Bagrut)","5",0.170791193532999,165735.122349
1,"7","Matriculation (Bagrut)","6",0.186779896387434,111409.778453
1,"7","Matriculation (Bagrut)","7",0.204230880680797,26899.998934
1,"7","Post-secondary, non-academic","1",0.236830228732838,70021.295167
1,"7","Post-secondary, non-academic","2",0.147559226250086,146509.234546
1,"7","Post-secondary, non-academic","3",0.172956851357702,138792.002633
1,"7","Post-secondary, non-academic","4",0.186664756074689,280610.755184
1,"7","Post-secondary, non-academic","5",0.16286289445469,134433.429159
1,"7","Post-secondary, non-academic","6",0.151455559513718,185133.537634
1,"7","Post-secondary, non-academic","7",0.190339032632512,26222.351998
1,"7","Academic Degree (BA/MA/PhD)","1",0.288592946020997,164460.985383
1,"7","Academic Degree (BA/MA/PhD)","2",0.229716355861458,233990.765562
1,"7","Academic Degree (BA/MA/PhD)","3",0.274096255812036,322712.86851
1,"7","Academic Degree (BA/MA/PhD)","4",0.293231472989391,611848.593124
1,"7","Academic Degree (BA/MA/PhD)","5",0.286511890894934,332733.357101
1,"7","Academic Degree (BA/MA/PhD)","6",0.28700648134804,211663.316401
1,"7","Academic Degree (BA/MA/PhD)","7",0.26637153015531,89205.853216
1,"7","Other/No Certificate","1",0.047523647083864,10777.349704
1,"7","Other/No Certificate","2",0.135976177352935,12068.846865
1,"7","Other/No Certificate","3",0.210085071748243,3803.905985
1,"7","Other/No Certificate","4",0.24255394504112,23830.42861
1,"7","Other/No Certificate","5",0.130409789772297,8138.452989
1,"7","Other/No Certificate","6",0.111190520828543,16788.089682
