"spec","point_estimate","se","mde","within_mde"
"young_additive",0.00562726999365282,0.0999190512727652,0.279931737053651,TRUE
"young_fe",-0.0150522987632731,0.0998111426644886,0.279629421891796,TRUE
"older_additive",-0.0347139478723477,0.0794965776413156,0.22271643681048,TRUE
"older_fe",-0.0152644572712075,0.0777920159964944,0.217940962102986,TRUE
