"model","estimate","se"
"primary_additive",-0.0257323476160138,0.0725008237344554
"primary_fe",-0.0193633310113033,0.0721885119056163
"occupation_calibrated",-0.0248407174870415,0.00923464767630377
"occupation_external",0.00442833874107507,0.00859775984840634
"occupation_realized",0.00222569848976661,0.0260874346119854
