"dropped_control","estimate","se","shift_from_baseline","shift_in_baseline_se_units"
"(none -- full baseline)",-0.0257323476160138,0.0725008237344554,0,0
"MatzavMishpachti",-0.0180995151316665,0.0718469026985053,0.00763283248434732,0.105279251892415
"Dat",-0.0613328785462102,0.0835872921411546,-0.0356005309301963,-0.49103622685155
"GilNK",-0.029407011229722,0.0732811639758339,-0.00367466361370816,-0.050684439492262
"MachozMegurim",-0.0138559668464495,0.0732914563313674,0.0118763807695643,0.163810287357055
"TeudaGvoha",-0.0826627782760454,0.0770994115250489,-0.0569304306600316,-0.785238397684243
