"WFH_Exposure_Q","mean_GilNK_Mother0","mean_GilNK_Mother1","gap_Mother1_minus_0","t_stat","p_value","n"
1,6.00795326231037,5.03437956949026,-0.973573692820117,-94.0308926217848,0,49776
2,5.8009250459355,5.06548672566372,-0.735438320271784,-62.8079271539508,0,49683
3,5.03633946377133,4.86688542938543,-0.169454034385898,-11.9773495376594,6.31492695811457e-33,52851
4,4.71109489051095,4.7680654035414,0.0569705130304516,5.00164047863653,5.71409410925359e-07,46359
