"ISCO1","mean_wfh_masked","mean_wfh_unmasked","n_masked","n_unmasked","gap"
2,0.294685990338164,0.16029694027323,207,35428,0.134389050064934
6,0,0.0864197530864197,10,81,-0.0864197530864197
5,0,0.0847939904393353,1,17572,-0.0847939904393353
4,0.0625,0.107414829659319,160,7485,-0.0449148296593186
1,0.148148148148148,0.129287003610108,27,4432,0.0188611445380398
3,0.125,0.136422891409203,16,15342,-0.0114228914092035
9,0,0.009470361276745,26,2851,-0.009470361276745
7,NA,0.242138364779874,0,954,NA
8,NA,0.0359628770301624,0,862,NA
